U241,U241
E_eV,Sig_b
14.84725,123.376793
14.84915,128.073656
14.85148,134.18298
14.8538,140.671779
14.85613,147.621699
14.85845,154.999934
14.86078,162.897865
14.8631,171.276214
14.86543,180.236863
14.86775,189.733264
14.87008,199.878268
14.8724,210.616461
14.87473,222.072633
14.87705,234.180641
14.87938,247.07759
14.8817,260.685304
14.88402,275.089724
14.88634,290.322591
14.88846,304.992958
14.89057,320.329749
14.89269,336.500402
14.8948,353.373516
14.89692,371.129294
14.89903,389.618702
14.90114,408.940871
14.90325,429.111199
14.90537,450.244929
14.90748,472.154181
14.90959,494.945759
14.9117,518.626116
14.91382,543.317869
14.91593,568.789002
14.91804,595.151636
14.92015,622.40017
14.92248,653.508275
14.9248,685.528142
14.92713,718.712649
14.92945,752.748293
14.9341,823.804915
14.93875,898.341373
14.9434,975.896747
14.94805,1055.904393
14.9527,1137.69507
14.95735,1220.49982
14.9658,1370.7327
14.97425,1515.72045
14.97891,1591.18838
14.98356,1661.97568
14.98821,1727.21822
14.99285,1785.81737
14.99766,1838.7392
15.00247,1882.8102
15.00598,1908.94158
15.00949,1929.70786
15.013,1944.91721
15.0165,1954.40944
15.02,1958.14887
15.02234,1957.42292
15.02614,1950.75301
15.02994,1937.36427
15.03374,1917.41707
15.03754,1891.14355
15.04235,1849.28739
15.04716,1798.52677
15.05308,1725.14779
15.05899,1641.64872
15.06364,1570.08185
15.06829,1494.46656
15.07294,1415.84302
15.07759,1335.23435
15.08689,1171.95092
15.09619,1011.73499
15.10296,900.398483
15.10634,847.128782
15.10972,795.636941
15.1131,746.063379
15.11648,698.520948
15.11986,653.095419
15.12324,609.847362
15.12789,553.971678
15.13022,527.560563
15.13254,502.312705
15.13487,478.003481
15.13719,454.830765
15.13952,432.580678
15.14184,411.42725
15.14417,391.168133
15.14649,371.955121
15.14882,353.598371
15.15114,336.229451
15.15347,319.671086
15.15579,304.036657
15.15811,289.223755
15.16043,275.202105
15.16276,261.88546
15.16508,249.356991
15.16741,237.477307
15.16973,226.317206
15.17206,215.7493
15.17438,205.833848
15.17671,196.455261
15.17903,187.664454
15.18136,179.35679
15.18368,171.575606
15.18601,164.226759
15.18833,157.347167
15.19066,150.852068
15.19298,144.772961
15.1953,139.05823
15.19762,133.685551
15.19984,128.845406
15.20206,124.2815656
15.20428,119.9774445
15.2065,115.9171153
15.20872,112.0854985
15.21094,108.4683322
15.21316,105.0521518
15.21538,101.8242197
15.2176,98.7725753
15.21982,95.8859445
15.22426,90.5660092
15.2287,85.7873235
15.23313,81.4915264
15.23757,77.6002753
15.24201,74.0724084
15.24645,70.8632767
15.25088,67.9405312
15.25532,65.2576219
15.25976,62.7925353
15.2642,60.5203039
15.26863,58.4239207
15.27328,56.3866446
15.27793,54.4983627
15.28258,52.7431407
15.28723,51.1072044
15.29188,49.5786461
