Cd106,Cd106
E_eV,Sig_b
456.6177,646.2527
456.657,649.9917
456.6649,650.3012
456.6905,650.2837
456.7161,648.711
456.7417,645.5988
456.7673,640.9745
456.7933,634.7704
456.8193,627.0988
456.8453,618.0228
456.8712,607.6578
456.8982,595.5336
456.9251,582.2142
456.979,552.239
457.0329,518.6635
457.0868,482.4711
457.1603,430.682
457.2338,378.2313
457.2877,340.5607
457.3416,304.3338
457.3686,286.9048
457.3955,270.0929
457.4224,253.8782
457.4493,238.298
457.4763,223.3273
457.5032,209.09825
457.5302,195.51907
457.5571,182.69759
457.5841,170.53914
457.611,159.12885
457.638,148.37179
457.6649,138.33312
457.6882,130.17121
457.7115,122.48981
457.7348,115.2735
457.758,108.53369
457.7813,102.19463
457.8045,96.29248
457.8278,90.75742
457.851,85.61783
457.8743,80.81003
457.8976,76.33754
457.9209,72.18112
457.9441,68.33782
457.9674,64.75606
457.9906,61.44878
458.0139,58.37018
458.0371,55.53013
458.0641,52.48706
458.091,49.7134
458.118,47.16638
458.1449,44.84426
458.1719,42.71047
458.1988,40.76301
458.2258,38.97087
458.2527,37.33221
458.2797,35.82092
458.3066,34.43552
458.3336,33.15415
458.3605,31.97581
458.3875,30.88222
458.4144,29.87294
458.4414,28.932691
458.4683,28.061498
458.5002,27.10469
458.532,26.224648
458.5639,25.407781
458.5957,24.652169
458.6276,23.946842
458.6594,23.290833
458.6912,22.677115
458.723,22.101557
458.7549,21.558858
458.7867,21.049217
458.8186,20.566609
458.8504,20.111559
458.8823,19.679014
458.9141,19.269727
458.9777,18.51003
459.0316,17.920649
459.0855,17.374999
459.1394,16.8682
459.1933,16.396107
459.2472,15.955206
459.3011,15.542443
459.355,15.15519
459.4089,14.791141
459.4628,14.448281
459.5167,14.124801
459.5706,13.819132
459.6245,13.529854
459.6784,13.255702
459.7323,12.995534
459.7862,12.748336
459.84,12.513601
459.9478,12.076061
460.0556,11.677541
460.1634,11.31316
460.2711,10.979113
460.3789,10.671307
460.4866,10.387355
460.5944,10.124188
460.7021,9.880103
460.7903,9.692895
460.8785,9.516113
460.9667,9.34893
461.0548,9.190777
461.143,9.040623
461.2312,8.898048
461.3194,8.762504
461.4075,8.633636
461.4957,8.5107002
461.5839,8.393437
461.7602,8.1745816
461.9366,7.9741953
462.1129,7.7902989
462.2207,7.6851018
462.3285,7.5849405
462.4363,7.4894713
462.544,7.3984636
462.6518,7.3114587
462.7596,7.2282821
462.9751,7.0725307
463.1907,6.929356
463.4062,6.7974377
463.6218,6.6754126
463.8373,6.5623267
464.0921,6.4388246
464.3468,6.3251987
464.6015,6.2202965
464.8562,6.1231783
465.111,6.0329871
465.3657,5.9490663
465.6204,5.8707288
465.8751,5.7974202
466.0907,5.7389458
466.3062,5.683516
466.5218,5.630861
466.7373,5.5808263
466.9529,5.5331795
467.1684,5.487797
467.384,5.4444808
467.5995,5.4031295
467.8151,5.3635762
468.0306,5.3257414
468.2462,5.2894795
468.4617,5.2547269
468.8928,5.1893238
469.3238,5.1288985
469.7549,5.0728691
470.186,5.0207791
470.6171,4.9722172
471.0482,4.9268286
471.4793,4.8843046
471.9104,4.84437395
472.3415,4.8067993
472.7725,4.77138251
473.1449,4.74237801
473.5172,4.71476173
473.8895,4.68841897
474.2618,4.66322399
474.6341,4.63908662
475.0064,4.61594833
475.3787,4.5937555
475.751,4.57245121
476.1233,4.55197919
476.4956,4.53228818
477.2402,4.49506383
477.9848,4.46044359
478.7294,4.42814018
479.5916,4.39330806
480.4538,4.36093034
481.316,4.33073076
482.1781,4.30248206
483.0403,4.27597906
483.9025,4.25105974
484.7647,4.22758462
485.6268,4.20544444
486.2539,4.19012614
486.8809,4.17544411
487.5079,4.16138404
488.1349,4.14794096
488.7228,4.13591129
489.3106,4.12446727
489.8985,4.11365631
490.4863,4.10355937
490.7803,4.09882079
491.0742,4.09433232
491.3681,4.09013124
491.662,4.08626435
491.956,4.08279166
492.2499,4.07980005
492.5438,4.07740092
492.8377,4.07575775
493.1512,4.07510733
493.357,4.0754986
493.5627,4.07674157
493.7685,4.07908381
493.9742,4.08287401
494.0771,4.08546552
494.18,4.08863264
494.2829,4.09248482
494.3857,4.0971605
494.4886,4.10286
494.5915,4.1098385
494.6944,4.1184714
494.7972,4.1293012
494.8511,4.1361327
494.905,4.1439696
494.9589,4.1530332
495.0128,4.1636059
495.0667,4.1760522
495.1206,4.1908402
495.1745,4.2085693
495.2283,4.2299569
495.2822,4.2560429
495.3361,4.2879949
495.3631,4.3066594
495.39,4.3273001
495.4169,4.3502205
495.4438,4.37568
495.4708,4.4040742
495.4977,4.4355032
495.5247,4.4705405
